Абсолютный путь к файлу,Относительный путь к файлу,номер звезды
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1191.txt,second_dataset/1_1345.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4133.txt,second_dataset/1_0371.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4326.txt,second_dataset/4_0035.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2642.txt,second_dataset/5_0541.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3459.txt,second_dataset/2_0049.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1058.txt,second_dataset/1_0702.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3716.txt,second_dataset/5_0249.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8909.txt,second_dataset/1_0728.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8476.txt,second_dataset/3_0412.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8830.txt,second_dataset/1_1722.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/33.txt,second_dataset/5_0399.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8588.txt,second_dataset/3_0382.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6636.txt,second_dataset/4_0085.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4676.txt,second_dataset/1_1798.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3672.txt,second_dataset/2_0307.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/767.txt,second_dataset/1_0848.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2802.txt,second_dataset/1_0045.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8370.txt,second_dataset/5_0561.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6368.txt,second_dataset/3_0119.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/374.txt,second_dataset/5_0135.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7713.txt,second_dataset/3_0343.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2929.txt,second_dataset/1_1170.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3846.txt,second_dataset/2_0157.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/489.txt,second_dataset/2_0513.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3885.txt,second_dataset/4_0229.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5189.txt,second_dataset/1_0665.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8873.txt,second_dataset/2_0444.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8394.txt,second_dataset/4_0058.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6194.txt,second_dataset/4_0259.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1024.txt,second_dataset/2_0320.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7498.txt,second_dataset/3_0417.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7460.txt,second_dataset/1_0147.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8269.txt,second_dataset/1_0387.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1127.txt,second_dataset/1_0323.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6999.txt,second_dataset/1_1091.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7597.txt,second_dataset/3_0228.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5711.txt,second_dataset/5_0098.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8193.txt,second_dataset/1_1164.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9731.txt,second_dataset/2_0036.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3998.txt,second_dataset/1_1027.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1665.txt,second_dataset/3_0201.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8231.txt,second_dataset/1_1315.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8935.txt,second_dataset/1_1285.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/644.txt,second_dataset/1_0622.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4045.txt,second_dataset/1_0304.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3644.txt,second_dataset/1_1478.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1420.txt,second_dataset/2_0212.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6253.txt,second_dataset/5_0444.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5527.txt,second_dataset/1_1747.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7674.txt,second_dataset/5_0393.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7310.txt,second_dataset/3_0258.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6049.txt,second_dataset/1_1220.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7021.txt,second_dataset/1_1646.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3836.txt,second_dataset/1_1303.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/507.txt,second_dataset/3_0012.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5417.txt,second_dataset/2_0540.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6875.txt,second_dataset/2_0045.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8921.txt,second_dataset/5_0143.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/12.txt,second_dataset/4_0147.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/63.txt,second_dataset/1_1763.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1924.txt,second_dataset/1_0384.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9349.txt,second_dataset/5_0116.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2878.txt,second_dataset/1_1240.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9402.txt,second_dataset/1_1803.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9507.txt,second_dataset/1_1005.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2419.txt,second_dataset/1_0221.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3953.txt,second_dataset/1_0079.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6363.txt,second_dataset/3_0394.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7247.txt,second_dataset/5_0063.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4165.txt,second_dataset/1_1299.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1333.txt,second_dataset/5_0462.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2046.txt,second_dataset/4_0133.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3462.txt,second_dataset/1_0923.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1725.txt,second_dataset/3_0415.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8007.txt,second_dataset/2_0293.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1030.txt,second_dataset/1_1564.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1846.txt,second_dataset/5_0069.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5635.txt,second_dataset/4_0126.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4970.txt,second_dataset/3_0380.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3957.txt,second_dataset/1_0466.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/765.txt,second_dataset/1_0511.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1298.txt,second_dataset/1_0444.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/462.txt,second_dataset/1_0263.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8379.txt,second_dataset/1_0274.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4216.txt,second_dataset/2_0140.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3804.txt,second_dataset/3_0247.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3129.txt,second_dataset/1_1323.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8689.txt,second_dataset/1_1007.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9068.txt,second_dataset/1_1624.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1401.txt,second_dataset/1_0276.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6390.txt,second_dataset/1_1553.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6786.txt,second_dataset/1_0739.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7954.txt,second_dataset/4_0251.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8303.txt,second_dataset/1_1011.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7028.txt,second_dataset/5_0604.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5788.txt,second_dataset/5_0237.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6572.txt,second_dataset/1_0369.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/496.txt,second_dataset/4_0266.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1092.txt,second_dataset/3_0124.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4726.txt,second_dataset/5_0066.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7654.txt,second_dataset/5_0464.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8283.txt,second_dataset/1_0332.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2396.txt,second_dataset/3_0288.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2544.txt,second_dataset/5_0233.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3361.txt,second_dataset/1_0091.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/113.txt,second_dataset/4_0099.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5212.txt,second_dataset/5_0511.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3547.txt,second_dataset/3_0378.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4435.txt,second_dataset/2_0011.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1812.txt,second_dataset/1_1824.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6733.txt,second_dataset/4_0226.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2999.txt,second_dataset/1_0807.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1532.txt,second_dataset/5_0456.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1488.txt,second_dataset/3_0278.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7496.txt,second_dataset/2_0188.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3410.txt,second_dataset/5_0305.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2726.txt,second_dataset/3_0243.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3660.txt,second_dataset/2_0496.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4980.txt,second_dataset/5_0178.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9348.txt,second_dataset/1_1592.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3252.txt,second_dataset/2_0103.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/634.txt,second_dataset/1_1529.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2911.txt,second_dataset/2_0053.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/463.txt,second_dataset/2_0204.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5984.txt,second_dataset/1_1105.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9914.txt,second_dataset/5_0550.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6562.txt,second_dataset/2_0446.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2699.txt,second_dataset/5_0223.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5023.txt,second_dataset/2_0254.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1601.txt,second_dataset/1_0683.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6970.txt,second_dataset/1_0581.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6418.txt,second_dataset/4_0163.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6472.txt,second_dataset/1_1772.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2569.txt,second_dataset/2_0524.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9455.txt,second_dataset/2_0199.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5840.txt,second_dataset/3_0102.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2448.txt,second_dataset/1_0695.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5235.txt,second_dataset/1_0574.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6070.txt,second_dataset/1_1116.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7852.txt,second_dataset/1_1405.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1284.txt,second_dataset/2_0261.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6748.txt,second_dataset/1_1364.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1698.txt,second_dataset/1_0516.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3697.txt,second_dataset/2_0126.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6456.txt,second_dataset/4_0095.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9100.txt,second_dataset/5_0014.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2604.txt,second_dataset/1_0936.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2674.txt,second_dataset/1_0565.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9209.txt,second_dataset/1_1695.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2901.txt,second_dataset/1_0403.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/871.txt,second_dataset/3_0251.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8276.txt,second_dataset/1_0871.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8321.txt,second_dataset/1_1347.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7680.txt,second_dataset/1_0789.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4924.txt,second_dataset/2_0170.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2474.txt,second_dataset/1_0421.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5683.txt,second_dataset/2_0349.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1912.txt,second_dataset/1_0184.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5007.txt,second_dataset/1_1243.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2092.txt,second_dataset/1_0235.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1020.txt,second_dataset/2_0174.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6011.txt,second_dataset/4_0071.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3529.txt,second_dataset/1_0357.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3875.txt,second_dataset/5_0569.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7979.txt,second_dataset/1_1374.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5115.txt,second_dataset/5_0519.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5820.txt,second_dataset/1_0826.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4291.txt,second_dataset/1_0356.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1453.txt,second_dataset/3_0221.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/205.txt,second_dataset/1_0611.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6685.txt,second_dataset/4_0244.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/994.txt,second_dataset/4_0253.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7567.txt,second_dataset/2_0197.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8912.txt,second_dataset/1_0814.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8078.txt,second_dataset/2_0287.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9906.txt,second_dataset/5_0337.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2470.txt,second_dataset/2_0285.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6565.txt,second_dataset/5_0572.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7508.txt,second_dataset/2_0490.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7309.txt,second_dataset/1_1617.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7065.txt,second_dataset/3_0062.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1554.txt,second_dataset/1_0675.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6617.txt,second_dataset/1_1108.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/23.txt,second_dataset/5_0500.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1757.txt,second_dataset/3_0077.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1466.txt,second_dataset/5_0387.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6365.txt,second_dataset/3_0299.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4661.txt,second_dataset/4_0305.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9303.txt,second_dataset/2_0537.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4386.txt,second_dataset/2_0381.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9864.txt,second_dataset/1_0398.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9398.txt,second_dataset/4_0284.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7399.txt,second_dataset/5_0238.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5931.txt,second_dataset/5_0216.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8995.txt,second_dataset/5_0590.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9849.txt,second_dataset/2_0468.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3534.txt,second_dataset/3_0248.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9104.txt,second_dataset/3_0230.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6781.txt,second_dataset/1_1814.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/991.txt,second_dataset/4_0159.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6327.txt,second_dataset/5_0006.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3722.txt,second_dataset/1_0821.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4725.txt,second_dataset/1_1522.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2715.txt,second_dataset/2_0233.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2204.txt,second_dataset/2_0071.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6537.txt,second_dataset/1_0440.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6374.txt,second_dataset/5_0195.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6988.txt,second_dataset/1_1503.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6323.txt,second_dataset/2_0272.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/945.txt,second_dataset/2_0345.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/352.txt,second_dataset/1_0207.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8438.txt,second_dataset/5_0287.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3109.txt,second_dataset/5_0106.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2579.txt,second_dataset/1_1304.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3772.txt,second_dataset/5_0563.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4489.txt,second_dataset/1_0546.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6892.txt,second_dataset/3_0045.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4171.txt,second_dataset/3_0142.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3848.txt,second_dataset/2_0344.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4123.txt,second_dataset/3_0366.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7344.txt,second_dataset/1_1175.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2851.txt,second_dataset/4_0014.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3438.txt,second_dataset/3_0146.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5566.txt,second_dataset/2_0511.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4871.txt,second_dataset/2_0329.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1867.txt,second_dataset/1_1523.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/858.txt,second_dataset/2_0335.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/561.txt,second_dataset/1_1104.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8601.txt,second_dataset/1_1063.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6014.txt,second_dataset/1_1022.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6758.txt,second_dataset/4_0164.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/821.txt,second_dataset/1_1623.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1958.txt,second_dataset/1_1599.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8154.txt,second_dataset/5_0405.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8089.txt,second_dataset/1_1308.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3930.txt,second_dataset/1_1661.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7752.txt,second_dataset/2_0334.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1404.txt,second_dataset/1_1178.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5588.txt,second_dataset/3_0398.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6157.txt,second_dataset/1_0464.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4719.txt,second_dataset/1_0260.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3202.txt,second_dataset/5_0018.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4907.txt,second_dataset/2_0192.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8772.txt,second_dataset/1_1336.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/137.txt,second_dataset/4_0146.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9395.txt,second_dataset/5_0353.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2899.txt,second_dataset/2_0482.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8413.txt,second_dataset/1_1261.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1588.txt,second_dataset/2_0039.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/493.txt,second_dataset/5_0526.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8605.txt,second_dataset/5_0203.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2906.txt,second_dataset/1_1087.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7318.txt,second_dataset/3_0338.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7553.txt,second_dataset/1_1463.txt,1
